question,reference_context
ใน CS ขอดูรายละเอียดของวิชาการพัฒนา เกมคอมพิวเตอร์ กับวิชาคอมพิวเตอร์ แอนิเมชัน หน่อย,"**CP 352 203 กา ร พัฒนา เกม คอมพิวเตอร์ 
  3 (2-2-5) 
  Computer Game Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 103 
  
  ความรู้ พื้นฐาน เกี่ยวกับ เกม คอมพิวเตอร์ เครื่องมือ พัฒนา เกม การ วิเคราะห์ และ ออกแบบ เกม การ 
  เขียน โปรแกรม สร้าง เกม แบบ 2 มิติ และ 3 มิติ ภาพเคลื่อนไหว กราฟ ของ ฉาก การควบคุม กล้อง เสียง และ 
  ดนตรี ประกอบ การ จ า ลอง ฟิสิกส์ แนะ น า ปัญญาประดิษฐ์ ส า หรับ เกม ทฤษฎี เกม การ ค้นหา เส้นทาง การ สร้าง 
  เกม ออนไลน์ แบบ หลาย ผู้ เล่น และ การ สร้าง โครงงาน เกม อิสระ 
  Introduction to computer game , game development tools , game analysis and design , 
  2 D and 3 D game programming , animation , scene graphs , camera control , sound effect and 
  music , physics simulation , introduction to artificial intelligence for game , game theory , path 
  finding , creating multiplayer online game , and independent game project 
 
 ==========================================================
 CP 351 201 คอ มพิวเตอร์ แอนิเมชัน 
  3 (2-2-5) 
  Computer Animation 
  
  เงื่อนไข ของ รายวิชา : CP 351 001 หรือ SC 311 001 
  
  หลักการ พื้นฐาน ของ กา รท า แอนิเมชัน ด้วย คอมพิวเตอร์ กระบวนการ แอ นิ เม ชั้น แบบ สอง มิติ การ ใช้ 
  โปรแกรม ส าเร็จ รูปวาด ตัวละคร การ วาด ฉาก ความลึก และ ต า แห น่ง การ จัดการ กล้อง การ จัด โครงกระดูก และ 
  แอนิเมชัน ตัวละคร เส้น เวลา วิ ชว ล เอฟ เฟค เสียง เอฟ เฟค ดนตรี การ ฝึก ทักษะ ใน การ ใช้ เทคโนโลยี เพื่อ การ 
  ผลิต ภาพ คอมพิวเตอร์ แอนิเมชัน 
  Basic principles of computer animation ; 2 D animation processes ; using up-to-date 
  computer applications for character drawing , scene drawing , depth and position , camera 
  management , skeletal posing and character animation , timeline , visual effect , sound effect , 
  music ; hands-on practice by using technologies for computer animation"
ใน CS ถ้าเราไม่ผ่านวิชา SC 402 401 เรายังจะสามารถลงทะเบียนวิชา SC 403 602 ได้ไหม,"SC 403 602 วิ ธี เชิงตัวเลข ส า หรับ วิทยาการ คอมพิวเตอร์ 
  3 (3-0-6) 
  Numerical Methods for Computer Science 
  
  เงื่อนไข ของ รายวิชา : SC 401 006 หรือ SC 401 201 
  
  ค่า คลาดเคลื่อน ผล เฉลย ของ สมการ ไม่ เชิงเส้น การประมาณ และ การ ประมาณค่า ใน ช่วง ระเบียบวิธี 
  โดยตรง ส า หรับ การ แก้ ระบบ สมการ เชิงเส้น ระเบียบวิธี ท าซ ้าส า หรับ ระบบ สมการ และ ปัญหา ค่า เฉพาะ การ หา 
  อนุพันธ์ และ ปริพันธ์ เชิงตัวเลข ผล เฉลย เชิงตัวเลข ของ สมการ เชิง อนุพันธ์ สามัญ 
  Errors , solution of nonlinear equations , approximation and interpolation , direct 
  methods for solving linear system , iterative methods for systems of equations and eigenvalue , 
  numerical differentiation and integration , numerical solution of ordinary differential equations"
ใน CS วิชาพีชคณิตเชิงเส้น 1 ต้องเรียนเกี่ยวกับอะไรบ้าง,"SC 402 101 พี ชค ณิต เชิงเส้น 1 
  3 (3-0-6) 
  Linear Algebra I 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  เมทริกซ์ และ ดี เทอร์ มิ แนนท์ ระบบ สมการ เชิงเส้น และ กา รด า เนิน การ ขั้น มูลฐาน ปริภูมิ เวกเตอร์ การ 
  แปลง เชิงเส้น ค่า เฉพาะ และ เวกเตอร์ เฉพาะ และ การ ประยุกต์ 
  Matrices and determinants , system of linear equations and elementary operations , 
  vector spaces , linear transformations , eigenvalues and eigenvectors and applications"
ใน CS วิชาระเบียบวิธีวิจัยมีเนื้อหายังไง,"CP 353 764 ระเบียบวิธี วิจัย 
  3 (3-0-6) 
  Research Methodology 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  การศึกษา ความหมาย ความ ส าคัญ วัตถุประสงค์ การ ตั้ง ค า ถาม และ ประเภท ของ งานวิจัย 
  กระบวน การวิจัย ทางเทคโนโลยี สารสนเทศ ทบทวน วรรณกรรม และ งานวิจัย ที่ เกี่ยวข้อง การเขียน ข้อเสนอ 
  โครงการวิจัย สถิติ เบื้องต้น การทดลอง การ สรุป ผลงานวิจัย การเขียน รายงาน การเขียน บทความ วิจัย การ 
  น า เสนอ การ อ้างอิง และ มารยาท และ จริยธรรม ใน กา รท า วิจัย 
  Study in meaning or semantic significant objective questioning and category for 
  research methodology , review article and related work , research proposal writing , 
  introduction to statistic , experimental study , research summary , report writing , research 
  writing , proposal presentation , reference , and research ethics"
ใน CS เราสนใจวิชา CP 353 304 Smart Platform Automation การวางระบบอัตโนมัติแพลตฟอร์มสมาร์ต ช่วยบอกรายละเอียดของวิชานี้หน่อย,"CP 353 304 กา ร วาง ระบบ อัตโนมัติ แพลตฟอร์ม สมาร์ต 
 
  3 (2-2-5) 
 
  Smart Platform Automation 
 
  
 
  เงื่อนไข ของ รายวิชา : ไม่ มี 
 
  
 
  การ วาง โปรแกรม แพลตฟอร์ม สมาร์ต และ การ วาง ระบบ อัตโนมัติ แพลตฟอร์ม สมาร์ต ขั้น แนะ น า การ 
 
  ระบุ ตัวตน สมาร์ต ตัว เซนเซอร์ สภาวะ ล้อมรอบ อุปกรณ์ สมาร์ต บน ฐาน ต า แห น่ง ที่ตั้ง อุปกรณ์ ออ กค า สั่ง ด้วย 
 
  เสียง การตรวจจับ การเคลื่อนไหว การ รู้ จ า ใบหน้า การ รู้ จ า ความรู้สึก โพรโทคอล ไอ โอที ตัวเก็บข้อมูล คลาวด์ 
 
  การควบคุม การ เข้าถึง สมาร์ต ระบบ ความมั่นคง สมาร์ต ระบบ ควบคุม สภาวะ ล้อมรอบ บ้าน สมาร์ต รถยนต์ 
 
  สมาร์ต ฟาร์ม สมาร์ต 
 
  Introduction to smart platform programmability and automation , smart identification , 
 
  ambient sensors , location-based smart devices , voice command devices , motion detection , 
 
  facial recognition , emotion detection , IOT protocols , cloud storage , smart access control , 
 
  smart security system , ambient control system , smart home , smart car , smart farm"
ใน CS ถ้าเราไม่ผ่านวิชา CP 353 003 ปัญญาประดิษฐ์ แล้วเราจะลงวิชาไหนไม่ได้บ้าง,"**CP 353 108 โค รง ข่าย ประสาท และ การเรียนรู้เชิงลึก 
  3 (2-2-5) 
  Neural Network and Deep Learning 
  
  เงื่อนไข ของ รายวิชา : CP 353 003 หรือ SC 313 006 
  
  ทฤษฎี และ การ ประยุกต์ ของ การ ค านวณ แบบ ประสาท ขั้น แนะ น า แบบ การ ค านวณ แบบ ประสาท การ 
  จ าแน กรู ป แบบ การ ประมาณค่า ของ ฟังก์ชัน ขั้นตอนวิธี การเรียนรู้ การเรียนรู้เชิงลึก 
  Introduction to theory and applications of neural computations , computational 
  models of neurons , pattern classifiers , function approximators , learning algorithms , deep 
  learning 
 
 ===========================================================
 CP 353 110 ปฏิ บัติ การ ปัญญาประดิษฐ์ 
  3 (2-2-5) 
  Artificial Intelligence Workshop 
  
  เงื่อนไข ของ รายวิชา : CP 353 003 หรือ SC 313 006 
  
  การเขียน โปรแกรม ไพธอน การ ใช้ แพลตฟอร์ม คลาวด์ และ โปรแกรม ส าเร็จ รูป ส า หรับ 
  แก้ปัญหา โดย ใช้ เทคนิค การเรียนรู้ ของ เครื่อง และ การเรียนรู้เชิงลึก การแก้ปัญหา 
  โครงการ 
  
  Python programming , cloud platforms and software for problem 
  solving using machine learning and deep learning , project solving"
ใน CS ถ้าเราไม่ผ่านวิชา แคลคูลัสสาหรับวิทยาศาสตร์กายภาพ 1 จะลงวิชาไหนไม่ได้บ้าง,"Calculus for Physical Science II 
  
  เงื่อนไข ของ รายวิชา : SC 401 201 
  
  เทคนิค ของ การ หา ปริพันธ์ การ ประยุกต์ ของ ปริพันธ์ ของ ฟังก์ชัน ตัวแปร เดียว ฟังก์ชัน หลาย ตัวแปร 
  ลิมิต และ ความต่อเนื่อง ของ ฟังก์ชัน หลาย ตัวแปร อนุพันธ์ ย่อย ล า ดับ และ อนุกรม อนันต์ ของ จ านวน จริง 
  Techniques of integration , application of integration of variable , functions of several 
  variables , limits and continuity of functions of several variable , partial derivatives , sequence 
  and series of real numbers 
  
 ===========================================================
 SC 402 401 วิ ยุต คณิต และ การ ประยุกต์ 
  3 (3-0-6) 
  Discrete Mathematic and Applications 
  
  เงื่อนไข ของ รายวิชา : SC 401 006 หรือ SC 401 201 
  
  ตรรกศาสตร์ เซต ขั้นตอนวิธี ทางทฤษฎี จ านวน อุปนัย เชิง คณิตศาสตร์ ขั้นตอนวิธี เวียน บังเกิด การ นับ 
  การสับเปลี่ยน และ การ จัด หมู่ ความน่าจะเป็น ค่า คาดหวัง เทคนิค การ นับ ขั้นสูง ขั้นตอนวิธี แบ่งแยก แล้ว 
  เอาชนะ ความสัมพันธ์ แบบ จ า ลอง ทาง กราฟ ต้นไม้ พีชคณิต บู ลี น 
  Logic sets , algorithms of number theory , mathematical induction , recursive algorithm , 
  counting , permutation and combination , probability , expected value , advanced counting 
  techniques , divide-and- conquer algorithm , relations , graph models , tree , Boolean algebra
 ===========================================================
 SC 403 602 วิ ธี เชิงตัวเลข ส า หรับ วิทยาการ คอมพิวเตอร์ 
  3 (3-0-6) 
  Numerical Methods for Computer Science 
  
  เงื่อนไข ของ รายวิชา : SC 401 006 หรือ SC 401 201 
  
  ค่า คลาดเคลื่อน ผล เฉลย ของ สมการ ไม่ เชิงเส้น การประมาณ และ การ ประมาณค่า ใน ช่วง ระเบียบวิธี 
  โดยตรง ส า หรับ การ แก้ ระบบ สมการ เชิงเส้น ระเบียบวิธี ท าซ ้าส า หรับ ระบบ สมการ และ ปัญหา ค่า เฉพาะ การ หา 
  อนุพันธ์ และ ปริพันธ์ เชิงตัวเลข ผล เฉลย เชิงตัวเลข ของ สมการ เชิง อนุพันธ์ สามัญ 
  Errors , solution of nonlinear equations , approximation and interpolation , direct 
  methods for solving linear system , iterative methods for systems of equations and eigenvalue , 
  numerical differentiation and integration , numerical solution of ordinary differential equation"
ใน CS เราสนใจ วิชา CP 352 202 Programming for Mobile Application มันมีเงื่อนไขรายวิชาไหม,"CP 352 202 กา รเขียน โปรแกรม ส า หรับ โมบาย แอปพลิเคชัน 
  3 (2-2-5) 
  Programming for Mobile Application 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  พื้นฐาน การเขียน โปรแกรม Kotlin , การ ออกแบบ อิน เทอร์ เฟส , สร้าง เลย์ เอาท์ พื้นฐาน , จัดการ กับ 
  เหตุการณ์ พื้นฐาน , อ่าน ไฟล์ , เชื่อมต่อ RSS service , สร้าง การ แจ้ง เตือน , กราฟิก และ แอนิเมชัน อย่าง ง่าย , เพิ่ม 
  แผนที่ ลง แอปพลิเคชัน 
  Basic of Kotlin programming , interface design , build a basic layout , handle basic event , 
  read file , connect RSS service , create notifications , graphics and basic animations , add maps 
  to application"
ใน CS วิชา CP 353 204 การพัฒนาโปรแกรมประยุกต์บนเว็บ มีเงื่อนไขรายวิชาไหม,"CP 353 204 การพัฒนา โปรแกรม ประยุกต์ บน เว็บ 
  3 (2-2-5) 
  Web Application Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 003 
  
  การพัฒนา โปรแกรม ประยุกต์ บน เว็บ เต็ม รูปแบบ ภาษา โปรแกรม และ ไล บรา รี่ ส า หรับ การพัฒนา เว็บ 
  ส่วน หน้าบ้าน , ภาษา โปรแกรม และ ไล บรา รี่ ส า หรับ การพัฒนา เว็บ ส่วน หลังบ้าน มาตรฐาน การ เรียก ใช้ และ 
  สร้าง บริการ บน เว็บ การ จัดการ เว็บ เซิร์ฟเวอร์ การใช้งาน ระบบ ฐานข้อมูล แนะ น า การรักษา ความปลอดภัย 
  ส า หรับ เว็บ และ สร้าง โครงงาน พัฒนา โปรแกรม ประยุกต์ บน เว็บ อิสระ 
  Full stack web application development , programming languages and libraries for 
  frontend development , programming languages and libraries for backend development , web 
  service standard , web server management , using database system , introduction to web 
  security and independent web application development project"
ใน CS ขอดูเงื่อนไขของวิชา CP 353 108 กับวิชา CP 353 109 หน่อย,"**CP 353 108 โค รง ข่าย ประสาท และ การเรียนรู้เชิงลึก 
  3 (2-2-5) 
  Neural Network and Deep Learning 
  
  เงื่อนไข ของ รายวิชา : CP 353 003 หรือ SC 313 006 
  
  ทฤษฎี และ การ ประยุกต์ ของ การ ค านวณ แบบ ประสาท ขั้น แนะ น า แบบ การ ค านวณ แบบ ประสาท การ 
  จ าแน กรู ป แบบ การ ประมาณค่า ของ ฟังก์ชัน ขั้นตอนวิธี การเรียนรู้ การเรียนรู้เชิงลึก 
  Introduction to theory and applications of neural computations , computational 
  models of neurons , pattern classifiers , function approximators , learning algorithms , deep 
  learning 
 ===========================================================
 CP 353 109 กา ร ประมวลผล ภาษาธรรมชาติ 
  3 (3-0-6) 
  Natural Language Processing 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  การประมวลผล ภาษาธรรมชาติ ขั้นตอนวิธี กา รส า หรับ การประมวลผลข้อมูล ภาษา การ ค านวณ ของ 
  ภาษาธรรมชาติ วากยสัมพันธ์ โครงสร้าง ประโยค และ การประมวลผล เชิง ความหมาย โมเดล ภาษา เทคนิค 
  การประมวลผล ภาษาธรรมชาติ โดย การ ใช้ คลัง ข้อมูลขนาดใหญ่ แบบ จ า ลอง ทาง สถิติ การ ประยุกต์ ใช้การ 
  ประมวลผล ภาษาธรรมชาติ 
  Introduction to natural language processing , algorithms for the processing of linguistic 
  information , computational of natural languages , morphological , syntactic , and semantic 
  processing , language model , quantitative techniques in NLP using large corpora , statistical 
  models , natural language processing application"
ใน CS ขอดูรายละเอียดของ วิชา CP 352 102 Digital Image Processing กับวิชา CP 353 102 Introduction to Machine Learning หน่อย,"**CP 352 102 กา ร ประมวลผล ภาพ ดิจิทัล 
  3 (2-2-5) 
  Digital Image Processing 
  
  เงื่อนไข ของ รายวิชา : CP 351 001 หรือ CP 351 002 หรือ 342 117 หรือ 
  SC 361 002 หรือ SC 311 001 หรือ SC 311 002 
  
  พื้นฐาน ระบบ ภาพ ดิจิทัล การ แปลง ความ เข้ม และ การกรอง ภาพ ใน เชิง พื้นที่ การกรอง ภาพ ใน เชิง 
  ความถี่ การฟื้นฟู ภาพ การประมวลผล ภาพ เชิง สัณฐาน วิทยา การ แบ่ง ย่อย ภาพ การ ประยุกต์ การ 
  ประมวลผล ภาพ ทางการแพทย์ การปฏิบัติ การประมวลผล ภาพ 
  Digital image fundamentals , intensity transformations and spatial filtering , filtering 
  in the frequency domain , image restoration , morphological image processing , image 
  segmentation , applications of medical image processing , image processing laboratory 
 ===========================================================
  **CP 353 102 เค รื่อง จักร เรียนรู้ ขั้น น า 
  3 (3-0-6) 
  Introduction to Machine Learning 
  
  เงื่อนไข ของ รายวิชา : ไม่ มี 
  
  แนวคิด และ กลไก พื้นฐาน ของ วิธี การเรียนรู้ ส า หรับ เครื่องจักร เรียนรู้ ที่ รู้ มีชื่อเสียง และ ประยุกต์ใช้ 
  แพร่หลาย วิธี เค - มีนส์ วิธี ฟัซ ซี่ - มีนส์ การ จัดระเบียบ ตนเอง เครื่องจักร เรียนรู้ เอ็กซ์ ท รีม โครงข่าย ประสาท 
  เทียม แบบ คอน โว ลู ชัน ตัว เข้ารหัส อัตโนมัติ เชิง ลึก เครื่องจักร บ็อลทซ์ มัน เชิง ลึก เครื่องจักร เรียนรู้ แบบ ต้นไม้ 
  การ ส่งเสริม ป่า แบบ สุ่ม เทคนิค การ หา ค า ตอบ ที่ หมา ะสม การ ประยุกต์ 
  The basic concepts and mechanisms of several well-known and well-applied machine 
  learning approaches , k-means , fuzzy c-means , self-organization , extreme learning machine , 
  convolutional neural network , deep auto-encoder , deep Boltzmann machine , tree-based 
  machines , boosting , random forest , optimization techniques , applications"
ใน CS อยากรู้รายละเอียดของวิชา CP 353 101 Data Engineering กับวิชา CP 353 103 Data Analytics and Application หน่อย,"CP 353 101 วิ ศว กรรม ข้อมูล 
  3 (2-2-5) 
  Data Engineering 
  
  เงื่อนไข ของ รายวิชา : CP 352 003 และ CP 352 004 หรือ SC 312 003 และ 
  SC 312 004 
  
  นิยาม และ ขอบเขต ของ วิศวกรรม ข้อมูล ขอบ ข่ายงาน ที่ รับผิดชอบ ของ ผู้เชี่ยวชาญ ทาง ด้าน ข้อมูล 
  นิยาม ของ ข้อมูล ลักษณะ ของ ข้อมูล การ กระ ท า กับ ข้อมูล เครื่องมือ ภาษา โปรแกรม แพลตฟอร์ม ที่ ใช้ ใน การ 
  ท า วิ ศก รร ม ข้อมูล ไปป์ ไลน์ ข้อมูล / วัฏจักร ข้อมูล : การ เลือก แหล่งข้อมูล , ช่อง ทางการ เชื่อมต่อ , การ รวบรวม 
  ข้อมูล , กา รท า ความสะอาด ข้อมูล , การ จัดการ รูปแบบ ของ ข้อมูล , การ จัดเก็บ ข้อมูล และ การ แสดงผล ข้อมูล 
  การประมวลผล แบบ กลุ่ม เมฆ ที่ เกี่ยวข้อง กับ วิศวกรรม ข้อมูล 
  Definition and scope of data engineering , responsibility of data expert , definition and 
  characteristic of data , working with data , tools , programming language and platform for data 
  engineering , data Pipeline /data Lifecycle : source of data , data API , collecting data , cleansing 
  data , transforming data , storing data , visualizing data , cloud computing which related with 
  data engineering 
 ===========================================================
 CP 353 103 กา รวิ เคราะห์ และ การ ประยุกต์ ข้อมูล 
  3 (2-2-5) 
  Data Analytics and Application 
  
  เงื่อนไข ของ รายวิชา : CP 352 003 และ CP 352 004 หรือ SC 312 003 และ 
  SC 312 004 
  
  ข้อมูล การ เตรียม ข้อมูล กระบวนการ ค้นพบ ความรู้ ใน การ วิเคราะห์ ข้อมูล กา รท า เหมือง ข้อมูล การ 
  วิเคราะห์ ข้อมูล เครื่องมือ และ ภาษา ที่ ใช้ ใน การ วิเคราะห์ ข้อมูล กา รท า เหมือง กฎ ความสัมพันธ์ การ จ าแนก 
  ประเภท และ การ พยากรณ์ ข้อมูล การ จัดกลุ่ม ข้อมูล การ สร้างภาพ นามธรรม ความ ท้าทาย ส า หรับ การ 
  วิเคราะห์ ข้อมูลขนาดใหญ่ และ การ ประยุกต์ใช้ 
  Data , data pre-processing , knowledge discovery in databases process , data mining , data 
  analytics , tools and languages for data analytics , association rule mining , classification and 
  prediction data , clustering data , data visualization , challenges for big data analytics , and 
  applications"
ใน CS ถ้าเราไม่ผ่านวิชา CP 351 003 Object Oriented Programming จะไม่สามารถลงวิชาไหนได้บ้าง,"**CP 352 203 กา ร พัฒนา เกม คอมพิวเตอร์ 
  3 (2-2-5) 
  Computer Game Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 103 
  
  ความรู้ พื้นฐาน เกี่ยวกับ เกม คอมพิวเตอร์ เครื่องมือ พัฒนา เกม การ วิเคราะห์ และ ออกแบบ เกม การ 
  เขียน โปรแกรม สร้าง เกม แบบ 2 มิติ และ 3 มิติ ภาพเคลื่อนไหว กราฟ ของ ฉาก การควบคุม กล้อง เสียง และ 
  ดนตรี ประกอบ การ จ า ลอง ฟิสิกส์ แนะ น า ปัญญาประดิษฐ์ ส า หรับ เกม ทฤษฎี เกม การ ค้นหา เส้นทาง การ สร้าง 
  เกม ออนไลน์ แบบ หลาย ผู้ เล่น และ การ สร้าง โครงงาน เกม อิสระ 
  Introduction to computer game , game development tools , game analysis and design , 
  2 D and 3 D game programming , animation , scene graphs , camera control , sound effect and 
  music , physics simulation , introduction to artificial intelligence for game , game theory , path 
  finding , creating multiplayer online game , and independent game project 
 
 ===========================================================
 
  *CP 353 203 กา ร พัฒนา โปรแกรม ประยุกต์ เสมือน จริง 
  3 (2-2-5) 
  Virtual Reality Application Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 003 
  
  เทคโนโลยี โลก เสมือน ความเป็นจริงเสมือน ความเป็นจริง เสริม และ ความเป็นจริง ผสม อุปกรณ์ 
  ส า หรับ สร้าง ความเป็นจริงเสมือน การ ออกแบบ และ พัฒนา โปรแกรม ประยุกต์ เสมือน จริง ความปลอดภัย การ 
  ใช้งาน แนะ น า ปัญญาประดิษฐ์ ส า หรับ เทคโนโลยี โลก เสมือน โลก เสมือน แบบ ผู้ใช้ หลาย คน เกม เสมือน จริง 
  และ สร้าง โครงงาน อิสระ ด้วย เทคโนโลยี โลก เสมือน จริง 
  Virtual world technology , virtual reality , augmented reality and mixed reality , virtual 
  reality devices , design and development of virtual reality application , use safety , introduction 
  to artificial intelligence for virtual world technology , multi-users virtual world , virtual reality 
  game and independent virtual reality project .
 
 ===========================================================
 CP 353 204 การพัฒนา โปรแกรม ประยุกต์ บน เว็บ 
  3 (2-2-5) 
  Web Application Development 
  
  เงื่อนไข ของ รายวิชา : CP 351 003 หรือ SC 311 003 
  
  การพัฒนา โปรแกรม ประยุกต์ บน เว็บ เต็ม รูปแบบ ภาษา โปรแกรม และ ไล บรา รี่ ส า หรับ การพัฒนา เว็บ 
  ส่วน หน้าบ้าน , ภาษา โปรแกรม และ ไล บรา รี่ ส า หรับ การพัฒนา เว็บ ส่วน หลังบ้าน มาตรฐาน การ เรียก ใช้ และ 
  สร้าง บริการ บน เว็บ การ จัดการ เว็บ เซิร์ฟเวอร์ การใช้งาน ระบบ ฐานข้อมูล แนะ น า การรักษา ความปลอดภัย 
  ส า หรับ เว็บ และ สร้าง โครงงาน พัฒนา โปรแกรม ประยุกต์ บน เว็บ อิสระ 
  Full stack web application development , programming languages and libraries for 
  frontend development , programming languages and libraries for backend development , web 
  service standard , web server management , using database system , introduction to web 
  security and independent web application development project"
ใน CS ถ้าเราไม่ผ่านวิชา CP 352 001 Data Structure จะไม่สามารถลงวิชาไหนได้บ้าง,"CP 352 006 กา รวิ เคราะห์ ขั้นตอนวิธี 
  3 (3-0-6) 
  Analysis of Algorithms 
  
  เงื่อนไข ของ รายวิชา : CP 352 001 หรือ SC 312 001 
  
  การ วิเคราะห์ ขั้นตอนวิธี เชิงเส้น ก า กับ ทฤษฎีบท หลัก ปัญหา กราฟ ขั้นตอนวิธี เชิง ละโมบ เทคนิค การ 
  แบ่งแยก และ เอาชนะ การ โปรแกรม แบบ พลวัต การ ค้น ใน ปริภูมิ สถานะ ขั้นตอน วิธีการ ย้อนรอย การ ขยาย 
  และ จ า กัด เขต ปัญหา เอ็น พี สมบูรณ์ 
  Asymptotic analysis of algorithm ; master theorem ; graph problems ; greedy algorithm ; 
  divide and conquer algorithm ; dynamic programming ; state space search ; backtracking 
  algorithm ; branch-and-bound algorithm ; NP completeness 
 ===========================================================
 CP 352 103 กา ร เขียน โปรแกรม เชิง แข่งขัน 
  3 (2-2-5) 
  
  Competitive Programming 
  
  เงื่อนไข ของ รายวิชา : CP 352 001 หรือ CP 352 006 หรือ SC 312 001 หรือ 
  SC 312 006 
  
  หลักการ พื้นฐาน โครงสร้าง ข้อมูล และ ขั้นตอนวิธี โดย ใช้ ไลบรารี เทมเพลต มาตรฐาน การเขียน 
  โปรแกรม แบบ ไดนามิก หรือ เชิง พลวัต ขั้นตอนวิธี แบ่งแยก และ เอาชนะ ขั้นตอนวิธี ของ กราฟ การท่อง หา เชิง 
  แนว ลึก การท่อง หา เชิง แนว กว้าง การ หา เส้นทาง ที่ สั้น ที่สุด ขั้นตอนวิธี ของ ได ก์ส ตรา ขั้นตอนวิธี ของ ฟลอยด์ - 
  วอร์ แช ล ต้นไม้ แบบ ทอด ข้า มต ่า สุด ขั้นตอนวิธี ของ พ ริม ขั้นตอนวิธี ของ ครู สกา ลการ ฝึก เขียน โปรแกรม 
  คอมพิวเตอร์ เพื่อ แก้ปัญหา โจทย์ 
  
  Fundamental Concepts , Data structure and Algorithms using Standard Template 
  Library , Dynamic Programming , Divide and Conquer , Graph Algorithms Depth-First Search 
  Breadth-First Search Shortest Path Dijkstra 's algorithm Floyd –Warshall algorithm Minimum 
  Spanning Tree Prim 's algorithm Kruskal ’s algorithm , computer programming practice for 
  problem solving
 ===========================================================
 CP 353 005 ทฤษฎี การ ค านวณ 
  3 (3-0-6) 
  Theory of Computation 
  
  เงื่อนไข ของ รายวิชา : CP 351 002 หรือ CP 352 001 หรือ SC 311 002 หรือ 
  SC 312 001 
  
  คณิตศาสตร์ และ สัญลักษณ์ ที่ เกี่ยวข้อง แนวคิด พื้นฐาน ของ ภาษา ไวยากรณ์ ออ โต มาตา ไฟ ไนท์ ออ โต 
  มาตา ภาษา ปกติ ไวยากรณ์ ปกติ นิพจน์ ปกติ วิธี ปั้ม ปิ้ง เลมม่าส า หรับ ภาษา ปกติ ภาษา ไม่ พึ่ง บริบท ไวยากรณ์ ไม่ 
  พึ่ง บริบท วิธี ปั้ม ปิ้ง เลมม่าส า หรับ ภาษา ไม่ พึ่ง บริบท การ แปลง ไวยากรณ์ ออ โต มาตา แบบ กด ลง เครื่อง ทัวริ่ง 
  ข้อ จ า กัด ของ การ ค านวณ แบบ ขั้นตอนวิธี 
  Mathematical preliminaries , notation , and basic concepts languages , grammar , 
  automata , finite automata , regular languages , regular grammars , regular expressions , pumping lemma for regular languages , context-free languages , context-free grammar , pumping lemma 
  for context-free languages , transforming grammar , pushdown automata , Turing machine , 
  limits of algorithmic computation
 ===========================================================
 CP 353 111 การเขียน โปรแกรมคอมพิวเตอร์ ควอนตัม 
  3 (2-2-5) 
  Quantum Computer Programming 
  
  เงื่อนไข ของ รายวิชา : CP 352 001 และ SC 402 101 
  
  คณิตศาสตร์ ที่ จ า เป็น , ภาษา โปรแกรม และ เครื่องมือ ส า หรับ คอมพิวเตอร์ ควอนตัม , สถานะ ควอนตัม 
  และ คิว บิท , คิว บิท และ ความยุ่งเหยิง หลาย จุด , โปรโตคอล ควอนตัม และ อัลกอริทึม ควอนตัม , วงจร ควอนตัม , 
  อัลกอริทึม ควอนตัม และ ตัวอย่าง การ ประยุกต์ ใช้งาน 
  Essential Mathematics , Programming Language and Tools for Quantum Computer , 
  Quantum States and Qubits , Multiple Qubits and Entanglement , Quantum Protocols and 
  Quantum Algorithms , Quantum Circuits , Quantum Algorithms and Examples of Applications"
